codigo,descricao,cod_descricao
12662,Cassação Do Registro De Candidatura,12662:Cassação Do Registro De Candidatura
12715,Não Conhecimento (Registro Deferido),12715:Não Conhecimento (Registro Deferido)
12701,Não-Acolhimento (Registro Cancelado),12701:Não-Acolhimento (Registro Cancelado)
12690,Não-Provimento (Registro Indeferido),12690:Não-Provimento (Registro Indeferido)
278,Recebimento De Embargos À Execução,278:Recebimento De Embargos À Execução
11018,Recebimento De Embargos À Execução,11018:Recebimento De Embargos À Execução
10962,Regressão De Medida Sócio-Educativa,10962:Regressão De Medida Sócio-Educativa
11002,Revogação Da Suspensão Do Processo,11002:Revogação Da Suspensão Do Processo
472,"Sumaríssimo (Art. 852-B, § 1º/Clt)","472:Sumaríssimo (Art. 852-B, § 1º/Clt)"
12292,Ato Cumprido Pela Parte Ou Interessado,12292:Ato Cumprido Pela Parte Ou Interessado
12387,Decisão De Saneamento E Organização,12387:Decisão De Saneamento E Organização
12449,Expedição De Alvará De Levantamento,12449:Expedição De Alvará De Levantamento
12548,Expedição De Alvará De Levantamento,12548:Expedição De Alvará De Levantamento
12717,Não Conhecimento (Registro Cancelado),12717:Não Conhecimento (Registro Cancelado)
12700,Não-Acolhimento (Registro Indeferido),12700:Não-Acolhimento (Registro Indeferido)
12329,Pedido Conhecido Em Parte E Procedente,12329:Pedido Conhecido Em Parte E Procedente
12180,Prestação De Serviços À Comunidade,12180:Prestação De Serviços À Comunidade
10963,Progressão De Medida Sócio-Educativa,10963:Progressão De Medida Sócio-Educativa
12687,Provimento Em Parte (Registro Cassado),12687:Provimento Em Parte (Registro Cassado)
12606,Remessa Negociação Consumidor.Gov.Br,12606:Remessa Negociação Consumidor.Gov.Br
198,Acolhimento De Embargos De Declaração,198:Acolhimento De Embargos De Declaração
12102,"Adiamento Do Julgamento (Cpc, Art. 935)","12102:Adiamento Do Julgamento (Cpc, Art. 935)"
242,Conhecimento Em Parte E Não-Provimento,242:Conhecimento Em Parte E Não-Provimento
373,Exceção De Impedimento Ou Suspeição,373:Exceção De Impedimento Ou Suspeição
12187,Homologação De Decisão De Juiz Leigo,12187:Homologação De Decisão De Juiz Leigo
12661,Impugnação Do Registro De Candidatura,12661:Impugnação Do Registro De Candidatura
12096,Incidente De Assunção De Competência,12096:Incidente De Assunção De Competência
12716,Não Conhecimento (Registro Indeferido),12716:Não Conhecimento (Registro Indeferido)
12684,Provimento Em Parte (Registro Deferido),12684:Provimento Em Parte (Registro Deferido)
12425,Unificação De Medidas Socioeducativas,12425:Unificação De Medidas Socioeducativas
12736,Unificação De Processos De Execução,12736:Unificação De Processos De Execução
900,Declaração De Competência Em Conflito,900:Declaração De Competência Em Conflito
11796,Declaração De Competência Em Conflito,11796:Declaração De Competência Em Conflito
12285,Em Secretaria/Comparecimento Espontâneo,12285:Em Secretaria/Comparecimento Espontâneo
383,Impugnação Ao Cumprimento De Sentença,383:Impugnação Ao Cumprimento De Sentença
12097,Incidente De Assunção De Competência ,12097:Incidente De Assunção De Competência 
12421,Juízo Provisório Para Medidas Urgentes,12421:Juízo Provisório Para Medidas Urgentes
12331,Pedido Conhecido Em Parte E Improcedente,12331:Pedido Conhecido Em Parte E Improcedente
1045,"Prescrição, Decadência Ou Perempção","1045:Prescrição, Decadência Ou Perempção"
12686,Provimento Em Parte (Registro Cancelado),12686:Provimento Em Parte (Registro Cancelado)
1046,Renúncia Do Queixoso Ou Perdão Aceito ,1046:Renúncia Do Queixoso Ou Perdão Aceito 
961,Suscitação De Conflito De Competência,961:Suscitação De Conflito De Competência
12106,Adiamento Do Julgamento (Art. 935 Do Cpc),12106:Adiamento Do Julgamento (Art. 935 Do Cpc)
12693,Não-Provimento (Registro Sem Julgamento),12693:Não-Provimento (Registro Sem Julgamento)
457,Paralisação Por Negligência Das Partes,457:Paralisação Por Negligência Das Partes
12100,Por Decisão Do Presidente Do Stf  - Irdr,12100:Por Decisão Do Presidente Do Stf  - Irdr
12099,Por Decisão Do Presidente Do Stj -  Irdr,12099:Por Decisão Do Presidente Do Stj -  Irdr
471,Pronúncia De Decadência Ou Prescrição,471:Pronúncia De Decadência Ou Prescrição
12685,Provimento Em Parte (Registro Indeferido),12685:Provimento Em Parte (Registro Indeferido)
12759,Realização De Procedimento Restaurativo,12759:Realização De Procedimento Restaurativo
12707,Anulação De Acórdão (Registro Cassado),12707:Anulação De Acórdão (Registro Cassado)
12713,Anulação De Acórdão (Registro Cassado),12713:Anulação De Acórdão (Registro Cassado)
12065,Cumprimento De Suspensão Ou Sobrestamento,12065:Cumprimento De Suspensão Ou Sobrestamento
12723,Negação De Seguimento (Registro Cassado),12723:Negação De Seguimento (Registro Cassado)
12703,Não-Acolhimento (Registro Sem Julgamento),12703:Não-Acolhimento (Registro Sem Julgamento)
146,Não-Homologação De Prisão Em Flagrante,146:Não-Homologação De Prisão Em Flagrante
12766,Por Divergência De Entendimento Com O Stf,12766:Por Divergência De Entendimento Com O Stf
12140,Prisão Em Flagrante Em Prisão Preventiva,12140:Prisão Em Flagrante Em Prisão Preventiva
12607,Recebimento Negociação Consumidor.Gov.Br,12607:Recebimento Negociação Consumidor.Gov.Br
12704,Anulação De Acórdão (Registro Deferido),12704:Anulação De Acórdão (Registro Deferido)
12710,Anulação De Acórdão (Registro Deferido),12710:Anulação De Acórdão (Registro Deferido)
241,Conhecimento Em Parte E Provimento Em Parte,241:Conhecimento Em Parte E Provimento Em Parte
11003,Início Do Cumprimento Da Transação Penal,11003:Início Do Cumprimento Da Transação Penal
12720,Negação De Seguimento (Registro Deferido),12720:Negação De Seguimento (Registro Deferido)
12719,Não Conhecimento (Registro Sem Julgamento),12719:Não Conhecimento (Registro Sem Julgamento)
12092,Afetação Ao Rito Dos Recursos Repetitivos ,12092:Afetação Ao Rito Dos Recursos Repetitivos 
12711,Anulação De Acórdao (Registro Indeferido),12711:Anulação De Acórdao (Registro Indeferido)
12706,Anulação De Acórdão (Registro Cancelado),12706:Anulação De Acórdão (Registro Cancelado)
12712,Anulação De Acórdão (Registro Cancelado),12712:Anulação De Acórdão (Registro Cancelado)
1011,Inclusão Em Regime Disciplinar Diferenciado,1011:Inclusão Em Regime Disciplinar Diferenciado
12722,Negação De Seguimento (Registro Cancelado),12722:Negação De Seguimento (Registro Cancelado)
200,Não-Acolhimento De Embargos De Declaração,200:Não-Acolhimento De Embargos De Declaração
12705,Anulação De Acórdão (Registro Indeferido),12705:Anulação De Acórdão (Registro Indeferido)
12441,Conhecimento Para Conhecer O Recurso Especial,12441:Conhecimento Para Conhecer O Recurso Especial
12721,Negação De Seguimento (Registro Indeferido),12721:Negação De Seguimento (Registro Indeferido)
460,"Perempção, Litispendência Ou Coisa Julgada","460:Perempção, Litispendência Ou Coisa Julgada"
12688,Provimento Em Parte (Registro Sem Julgamento),12688:Provimento Em Parte (Registro Sem Julgamento)
