codigo,descricao,cod_descricao
10421,Contratos Administrativos,10421:Contratos Administrativos
6071,Contribuições Especiais,6071:Contribuições Especiais
10139,Controle De Abastecimento,10139:Controle De Abastecimento
11224,Crimes Contra A Liberdade,11224:Crimes Contra A Liberdade
3477,Crimes Contra O Casamento,3477:Crimes Contra O Casamento
9760,Crimes Contra O Casamento,9760:Crimes Contra O Casamento
10155,Cruzados Novos / Bloqueio,10155:Cruzados Novos / Bloqueio
4964,Cédula De Crédito Rural,4964:Cédula De Crédito Rural
6164,Declaração De Ausência,6164:Declaração De Ausência
10280,Demissão Ou Exoneração,10280:Demissão Ou Exoneração
10125,Desapropriação Indireta,10125:Desapropriação Indireta
6156,Descontos Dos Benefícios,6156:Descontos Dos Benefícios
11136,Descumprimento De Missão,11136:Descumprimento De Missão
11759,Desfiliação Partidária,11759:Desfiliação Partidária
9925,Desobediência (Art. 330),9925:Desobediência (Art. 330)
9610,Despejo Para Uso Próprio,9610:Despejo Para Uso Próprio
11304,Despojamento Desprezível,11304:Despojamento Desprezível
2666,Décimo Terceiro Salário,2666:Décimo Terceiro Salário
11232,Escrito Ou Objeto Obsceno,11232:Escrito Ou Objeto Obsceno
2661,Estabilidade Acidentária,2661:Estabilidade Acidentária
11121,Favorecimento A Convocado,11121:Favorecimento A Convocado
9986,Garantias Constitucionais,9986:Garantias Constitucionais
10891,Habeas Corpus - Cabimento,10891:Habeas Corpus - Cabimento
10655,Honorários Advocatícios,10655:Honorários Advocatícios
7631,Honorários Profissionais,7631:Honorários Profissionais
8838,Imunidade De Jurisdição,8838:Imunidade De Jurisdição
6058,Indenização Trabalhista,6058:Indenização Trabalhista
10206,Indisponibilidade De Bens,10206:Indisponibilidade De Bens
10212,Indisponibilidade De Bens,10212:Indisponibilidade De Bens
10218,Indisponibilidade De Bens,10218:Indisponibilidade De Bens
10022,Infração Administrativa,10022:Infração Administrativa
2133,Inquérito Administrativo,2133:Inquérito Administrativo
11123,Insubmissão Privilegiada,11123:Insubmissão Privilegiada
11993,Internação Compulsória,11993:Internação Compulsória
12030,Internação Compulsória,12030:Internação Compulsória
12508,Internação Compulsória,12508:Internação Compulsória
1907,Justa Causa / Falta Grave,1907:Justa Causa / Falta Grave
10736,Legitimidade Para A Causa,10736:Legitimidade Para A Causa
6025,Levantamento De Depósito,6025:Levantamento De Depósito
10366,Licenciamento / Exclusão,10366:Licenciamento / Exclusão
10420,Licenciamento De Veículo,10420:Licenciamento De Veículo
10688,Medidas Sócio-Educativas,10688:Medidas Sócio-Educativas
3524,Moeda Falsa / Assimilados,3524:Moeda Falsa / Assimilados
9808,Moeda Falsa / Assimilados,9808:Moeda Falsa / Assimilados
10023,Multas E Demais Sanções,10023:Multas E Demais Sanções
10168,Multas E Demais Sanções,10168:Multas E Demais Sanções
10395,Multas E Demais Sanções,10395:Multas E Demais Sanções
7952,Organizações Religiosas,7952:Organizações Religiosas
10905,Passe Livre Em Transporte,10905:Passe Livre Em Transporte
10036,Penalidades Disciplinares,10036:Penalidades Disciplinares
10056,Penalidades Disciplinares,10056:Penalidades Disciplinares
10813,Por Condenação Criminal,10813:Por Condenação Criminal
10812,Por Cumulação De Cargos,10812:Por Cumulação De Cargos
6146,Reajustamento Pelo Igp-Di,6146:Reajustamento Pelo Igp-Di
10066,Reajuste Da Tabela Do Sus,10066:Reajuste Da Tabela Do Sus
12514,Reajuste Da Tabela Do Sus,12514:Reajuste Da Tabela Do Sus
6059,Reembolso Auxílio-Creche,6059:Reembolso Auxílio-Creche
3617,Representação Caluniosa,3617:Representação Caluniosa
9877,Representação Caluniosa,9877:Representação Caluniosa
4813,Representação Comercial,4813:Representação Comercial
8873,Representação Em Juízo,8873:Representação Em Juízo
10590,Resgate De Contribuição,10590:Resgate De Contribuição
4854,Revisão Do Saldo Devedor,4854:Revisão Do Saldo Devedor
2452,Salário Vencido / Retido,2452:Salário Vencido / Retido
10390,Sanções Administrativas,10390:Sanções Administrativas
7767,Substituição Do Produto,7767:Substituição Do Produto
3490,Subtração De Incapazes ,3490:Subtração De Incapazes 
8805,Sucessão De Empregadores,8805:Sucessão De Empregadores
10910,Transferência De Unidade,10910:Transferência De Unidade
11716,Transgressões Eleitorais,11716:Transgressões Eleitorais
11230,Ultraje Público Ao Pudor,11230:Ultraje Público Ao Pudor
9971,Uso Ou Tráfico De Drogas,9971:Uso Ou Tráfico De Drogas
3406,Violação De Domicílio ,3406:Violação De Domicílio 
10320,Índice Do Ipc Junho/1987,10320:Índice Do Ipc Junho/1987
10291,Adicional De Insalubridade,10291:Adicional De Insalubridade
10309,Adicional De Produtividade,10309:Adicional De Produtividade
10450,Adjudicação Compulsória,10450:Adjudicação Compulsória
10364,Advertência / Repreensão,10364:Advertência / Repreensão
10465,Alteração De Coisa Comum,10465:Alteração De Coisa Comum
12380,Aposentadoria Compulsória,12380:Aposentadoria Compulsória
11196,Atentado Contra Transporte,11196:Atentado Contra Transporte
9743,Atentado Violento Ao Pudor,9743:Atentado Violento Ao Pudor
11249,Atentado Violento Ao Pudor,11249:Atentado Violento Ao Pudor
10914,Busca E Apreensão De Bens,10914:Busca E Apreensão De Bens
11629,Cargo - Deputado Distrital,11629:Cargo - Deputado Distrital
11819,Classificação Indicativa,11819:Classificação Indicativa
10563,Compensação De Prejuízo,10563:Compensação De Prejuízo
10370,Concurso Público / Edital,10370:Concurso Público / Edital
3558,Condescendência Criminosa,3558:Condescendência Criminosa
11339,Condescendência Criminosa,11339:Condescendência Criminosa
9659,Contra A Liberdade Pessoal,9659:Contra A Liberdade Pessoal
9874,Contra A Ordem Tributária,9874:Contra A Ordem Tributária
3574,Contrabando Ou Descaminho ,3574:Contrabando Ou Descaminho 
6203,Cooperação Internacional,6203:Cooperação Internacional
5623,Corretagem De Embarcação,5623:Corretagem De Embarcação
3604,Crimes De Responsabilidade,3604:Crimes De Responsabilidade
7639,Direito De Greve / Lockout,7639:Direito De Greve / Lockout
7949,Direitos Da Personalidade ,7949:Direitos Da Personalidade 
8888,Dos Auxiliares Da Justiça,8888:Dos Auxiliares Da Justiça
5973,Empréstimos Compulsórios,5973:Empréstimos Compulsórios
7620,Estabelecimentos De Ensino,7620:Estabelecimentos De Ensino
11742,Exceção - De Impedimento,11742:Exceção - De Impedimento
11746,Exceção - De Suspeição,11746:Exceção - De Suspeição
11730,Execução - De Astreintes,11730:Execução - De Astreintes
9419,Execução Previdenciária,9419:Execução Previdenciária
9951,Exploração De Prestígio,9951:Exploração De Prestígio
11366,Exploração De Prestígio,11366:Exploração De Prestígio
10622,Extinção Da Punibilidade,10622:Extinção Da Punibilidade
11084,Extinção Da Punibilidade,11084:Extinção Da Punibilidade
5838,Fraude Na Entrega De Coisa,5838:Fraude Na Entrega De Coisa
9710,Fraude Na Entrega De Coisa,9710:Fraude Na Entrega De Coisa
11300,Fuga De Preso Ou Internado,11300:Fuga De Preso Ou Internado
8818,Gratificação De Função,8818:Gratificação De Função
11705,Habeas Corpus - Preventivo,11705:Habeas Corpus - Preventivo
10011,Improbidade Administrativa,10011:Improbidade Administrativa
11559,Improbidade Administrativa,11559:Improbidade Administrativa
9524,Indenização Do Prejuízo,9524:Indenização Do Prejuízo
10041,Ingresso No Curso Superior,10041:Ingresso No Curso Superior
10016,Inspeção Fitossanitária,10016:Inspeção Fitossanitária
10174,Instituições Financeiras,10174:Instituições Financeiras
11995,Internação Involuntária,11995:Internação Involuntária
12509,Internação Involuntária,12509:Internação Involuntária
11951,Investigação Patrimonial,11951:Investigação Patrimonial
2037,Levantamento / Liberação,2037:Levantamento / Liberação
6024,Liberação De Mercadorias,6024:Liberação De Mercadorias
10130,Limitação Administrativa,10130:Limitação Administrativa
10179,Liquidação Extrajudicial,10179:Liquidação Extrajudicial
6066,Massa Falida- Recolhimento,6066:Massa Falida- Recolhimento
2210,Multa Do Artigo 467 Da Clt,2210:Multa Do Artigo 467 Da Clt
2212,Multa Do Artigo 477 Da Clt,2212:Multa Do Artigo 477 Da Clt
4974,Nota De Crédito Comercial,4974:Nota De Crédito Comercial
11266,Ofensa Às Forças Armadas,11266:Ofensa Às Forças Armadas
6091,Paes/Parcelamento Especial,6091:Paes/Parcelamento Especial
7704,Pagamento Em Consignação,7704:Pagamento Em Consignação
11915,Participação Societária,11915:Participação Societária
10643,Perda Da Função Pública,10643:Perda Da Função Pública
11095,Perda Da Função Pública,11095:Perda Da Função Pública
5632,Prescrição E Decadência,5632:Prescrição E Decadência
10947,Princípio Da Seletividade,10947:Princípio Da Seletividade
10496,Promessa De Compra E Venda,10496:Promessa De Compra E Venda
