codigo,descricao,sigla,cod_descricao
1354,Suspensão De Tutela Provisória,STP,1354:Suspensão De Tutela Provisória
1045,Agravo Em Recurso Extraordinário,AgRE,1045:Agravo Em Recurso Extraordinário
12086,Dissolução Parcial De Sociedade,DissParcSocied,12086:Dissolução Parcial De Sociedade
420,Embargos De Declaração Criminal,EDCrim,420:Embargos De Declaração Criminal
1271,Recurso De Medida Cautelar Cível,ReMeCaCiv,1271:Recurso De Medida Cautelar Cível
251,Registro De Casamento Nuncupativo,ReCaNu,251:Registro De Casamento Nuncupativo
1417,Regularização De Registro Civil,RegRegCiv,1417:Regularização De Registro Civil
1382,Retificação De Nome Estrangeiro,RNE,1382:Retificação De Nome Estrangeiro
1283,Superveniência De Doença Mental,SuDoMe,1283:Superveniência De Doença Mental
1013,Agravo Em Recurso De Habeas Corpus,AgRHC,1013:Agravo Em Recurso De Habeas Corpus
56,Especialização De Hipoteca Legal,EsHiLe,56:Especialização De Hipoteca Legal
11399,Execução De Medida De Segurança,ExeMS,11399:Execução De Medida De Segurança
12729,Execução De Medidas Alternativas,ExMedAlt,12729:Execução De Medidas Alternativas
166,Insolvência Requerida Pelo Credor,IRPC,166:Insolvência Requerida Pelo Credor
1124,Justificação De Dinheiro A Risco,JuDiRi,1124:Justificação De Dinheiro A Risco
44,Prestação De Contas - Oferecidas,PrCoOf,44:Prestação De Contas - Oferecidas
1068,Processo De Execução Trabalhista,ProcExeTrab,1068:Processo De Execução Trabalhista
292,Processo Especial De Leis Esparsas,PELE,292:Processo Especial De Leis Esparsas
11880,Recurso Extraordinário Com Agravo,ARE,11880:Recurso Extraordinário Com Agravo
12076,Restabelecimento Do Poder Familiar,ResPodFam,12076:Restabelecimento Do Poder Familiar
416,Apelação Em Mandado De Segurança,ApMS,416:Apelação Em Mandado De Segurança
10980,Cumprimento Provisório De Decisão,CumPrDec,10980:Cumprimento Provisório De Decisão
421,Embargos Infringentes E De Nulidade,EIfNu,421:Embargos Infringentes E De Nulidade
321,Exceção De Ilegitimidade De Parte,IlePar,321:Exceção De Ilegitimidade De Parte
1023,Execução Em Mandado De Segurança,ExeMS,1023:Execução Em Mandado De Segurança
1021,Execução Em Sentença Estrangeira,ExeSE,1021:Execução Em Sentença Estrangeira
1722,Recurso Ordinário Em Habeas Corpus,ROHC,1722:Recurso Ordinário Em Habeas Corpus
326,Restituição De Coisas Apreendidas,ReCoAp,326:Restituição De Coisas Apreendidas
12626,Agravo Em Recurso Especial Eleitoral,AREspE,12626:Agravo Em Recurso Especial Eleitoral
1670,Ação De Improbidade Administrativa,AIA,1670:Ação De Improbidade Administrativa
10943,Ação Penal - Procedimento Sumário,APSum,10943:Ação Penal - Procedimento Sumário
985,Ação Trabalhista - Rito Ordinário,ATOrd,985:Ação Trabalhista - Rito Ordinário
1451,Carta De Ordem Infância E Juventude,CartOrdIJ,1451:Carta De Ordem Infância E Juventude
157,Cumprimento Provisório De Sentença,CumPrSe,157:Cumprimento Provisório De Sentença
1296,Declaratória De Constitucionalidade,ADC,1296:Declaratória De Constitucionalidade
1114,Execução Contra A Fazenda Pública,ECFP,1114:Execução Contra A Fazenda Pública
12788,Execução Contra A Fazenda Pública,EFP,12788:Execução Contra A Fazenda Pública
1466,Internação Com Atividades Externas,InAtEx,1466:Internação Com Atividades Externas
1467,Internação Sem Atividades Externas,InAtEx,1467:Internação Sem Atividades Externas
547,Juizados Da Infância E Da Juventude,JuizInfJuv,547:Juizados Da Infância E Da Juventude
12248,Pedido De Cooperação Jurisdicional,PCoop,12248:Pedido De Cooperação Jurisdicional
12136,Pedido De Mediação Pré-Processual,PMPP,12136:Pedido De Mediação Pré-Processual
1072,Pedido De Revisão Do Valor Da Causa,PRVC,1072:Pedido De Revisão Do Valor Da Causa
1339,Prisão Preventiva Para Extradição,PPE,1339:Prisão Preventiva Para Extradição
1379,Recurso De Liquidação De Sentença,RLS,1379:Recurso De Liquidação De Sentença
1064,Remessa Necessária Em Habeas Corpus,ROHC,1064:Remessa Necessária Em Habeas Corpus
256,Representação Por Excesso De Prazo,REP,256:Representação Por Excesso De Prazo
1683,Retificação De Registro De Imóvel,RetRegIm,1683:Retificação De Registro De Imóvel
1036,Suspensão De Liminar E De Sentença,SLS,1036:Suspensão De Liminar E De Sentença
11555,Suspensão De Liminar E De Sentença,SLS,11555:Suspensão De Liminar E De Sentença
12059,Suspensão De Segurança - Eleitoral,SS-El,12059:Suspensão De Segurança - Eleitoral
69,Alimentos - Lei Especial Nº 5.478/68,AlEsp,69:Alimentos - Lei Especial Nº 5.478/68
282,Ação Penal De Competência Do Júri,Juri,282:Ação Penal De Competência Do Júri
289,Crimes Contra A Propriedade Imaterial,CCPImat,289:Crimes Contra A Propriedade Imaterial
319,Exceção De Incompetência De Juízo,ExcInc,319:Exceção De Incompetência De Juízo
12247,Execução Extrajudicial De Alimentos,ExeExtAlim,12247:Execução Extrajudicial De Alimentos
11397,Extinção Das Obrigações Do Falido,ExtObrFal,11397:Extinção Das Obrigações Do Falido
231,Impugnação Ao Valor Da Causa Cível,IVCCiv,231:Impugnação Ao Valor Da Causa Cível
11553,Instrução Provisória De Deserção,IPDes,11553:Instrução Provisória De Deserção
11800,Instrução Provisória De Deserção,InstProvDes,11800:Instrução Provisória De Deserção
309,Pedido De Busca E Apreensão Criminal,PBACrim,309:Pedido De Busca E Apreensão Criminal
1426,Perda Ou Suspensão Do Poder Familiar,PeSusPodFam,1426:Perda Ou Suspensão Do Poder Familiar
